country,n,y_start,y_end,alpha,mu_E_static,mu_X_static,mu_E0,mu_E1,mu_X0,mu_X1,M0_A_mape,M0_A_dw,M0_B_rmse,M0_B_r2,M1_A_mape,M1_A_dw,M1_B_rmse,M1_B_r2,M2_A_mape,M2_A_dw,M2_B_rmse,M2_B_r2
Australia,60,1960,2019,0.3680407404899597,14.0,65.0,14.0,0.04,67.0,-0.04,2.3474929295242704,1.0218118178546738,1.5604923196881268,0.18948815973885236,2.919258076418397,0.7681459548919392,1.6134454633066102,0.133547671909224,3.0454972362621535,0.7744140953148239,1.6121390579251045,0.13495023523766625
Austria,60,1960,2019,0.3871033191680908,14.0,55.0,14.0,-0.04,55.0,0.12,2.388812285128641,0.7718668502882328,1.474259825304907,0.4099183346486863,2.0589279085901473,0.8919857963242973,1.6126342149366493,0.2939494448575948,1.6330820740930372,0.9821328294465277,1.6013020767854973,0.30383755244590394
Belgium,60,1960,2019,0.37103450298309326,14.0,55.0,14.0,-0.04,55.0,0.04,2.7637639293424834,0.8157986809477571,1.6355832462211637,0.24600499084174288,2.5965804920897417,0.6772662771445487,1.6904185637284599,0.19459991451946057,2.3369564239615688,0.6727643066024956,1.6823839851694202,0.2022378710696605
Canada,60,1960,2019,0.30249160528182983,14.0,63.0,14.0,-0.04,65.0,-0.04,1.8190460845824634,0.5896426135861622,1.3488306900544573,0.5812062966201381,2.397928683890355,0.6061451445453007,1.8559517867189526,0.20709958406787088,2.3652301565966267,0.603336845525281,1.8484925376867918,0.2134602625585157
Chile,60,1960,2019,0.53184974193573,24.0,55.0,22.0,0.07999999999999999,55.0,0.0,4.171658271607725,0.7491337316575025,3.840509105097214,0.3366144242382326,4.601459796337073,0.7962673935288446,4.440070861700142,0.11331731284084756,4.610424141279161,0.8092368986868701,4.441128041294697,0.11289502478815483
China,60,1960,2019,0.41523391008377075,14.0,69.0,14.0,0.04,69.0,-0.04,4.791042162445119,0.6193704934540798,4.780179669168878,0.1187911206296024,4.563180094955191,0.6613194309833474,4.7325027176437775,0.1362816075108534,4.576503128358808,0.6548256618305717,4.724051349483157,0.13936373326647933
Colombia,60,1960,2019,0.5214959979057312,14.0,69.0,14.0,-0.04,65.0,0.12,1.6850644566345903,1.0482578864015824,1.6510314428780486,0.39602809042169484,2.276873800435928,0.6567056851140495,1.864398752932404,0.2298352108846351,2.2206962056314,0.6556093808400404,1.8576264564442329,0.2354201870651177
Costa Rica,60,1960,2019,0.42360860109329224,14.0,71.0,14.0,-0.04,67.0,0.12,2.8049973241792823,0.7834883486226342,2.505779162253825,0.254083257785916,2.659260708343333,0.9018196556234587,2.667426098688791,0.15474147328615917,2.6353317768992848,0.9397145445696911,2.660686858732461,0.15900716152772643
Czech Republic,30,1990,2019,0.4774419665336609,24.0,71.0,22.0,0.07999999999999999,69.0,0.12,5.3866613938406775,0.609170217579262,3.4178584601649775,0.14931601853535503,5.782790211681316,0.49642389330128806,3.740800867389217,-0.01903543907604366,5.835183848262041,0.497966120966217,3.748688399405726,-0.023337271070187127
Denmark,60,1960,2019,0.36073189973831177,17.0,68.0,16.0,0.07999999999999999,69.0,-0.04,3.0220491728442402,0.9129341028567767,1.586435431554738,0.5012200942712006,2.798820094773092,0.5722621746395237,1.9382030519137254,0.25550344373395717,3.0876633172695995,0.5778327572097504,1.9267168949649336,0.2643013513289435
Estonia,30,1990,2019,0.40406036376953125,14.0,60.0,22.0,0.07999999999999999,59.0,0.12,7.025823701036085,0.7319217287968941,5.627332954522499,0.450251120709554,9.081210416198218,0.5975742796046017,7.079253346314379,0.12997038015618623,8.66526624202605,0.6174557037215201,7.069651738886091,0.13232882599582552
Finland,60,1960,2019,0.36187732219696045,15.0,65.0,16.0,-0.04,67.0,-0.04,3.2617570106220497,1.0122860547702017,2.0524695515202835,0.5414431649139606,3.1403714343684794,0.8870819415931613,2.7689192636314037,0.16543472460002118,3.110179685780532,0.8828430727305652,2.7637952315415055,0.1685206812849841
France,60,1960,2019,0.357707679271698,14.0,55.0,14.0,-0.04,55.0,0.07999999999999999,3.098240458582243,0.86209388860981,1.549328092289094,0.39707728793873864,2.329232309060434,0.6741566222661481,1.4283055625073908,0.4875905765368559,1.9352978931357703,0.643884195402779,1.416510160909418,0.4960189102825191
Germany,60,1960,2019,0.34734076261520386,24.0,61.0,22.0,0.07999999999999999,59.0,0.12,2.7790071692164906,1.1229805952815861,1.543969226499529,0.47301577619798574,1.894296943010378,0.9494962149239031,1.7977392180469005,0.2855469088671868,1.7618216359967902,0.9967721357021977,1.7870299991718301,0.2940336182480885
Greece,60,1960,2019,0.4959757924079895,24.0,71.0,22.0,-0.04,69.0,-0.04,4.854415319289163,0.6156361066347608,3.7863390323125627,0.32819328246142465,4.708394671497018,0.7817493353704162,3.843485696572197,0.30776128661286783,4.742335638241848,0.7538614031474373,3.840187430496378,0.3089488585163598
Hungary,50,1970,2019,0.37793296575546265,23.0,58.0,22.0,0.0,59.0,-0.04,3.545303662328761,0.7153455363436115,2.8730846365457343,0.3068379594149254,3.74841263546066,0.6264561402161133,2.9634894867592037,0.2625293961211378,3.8801850765073436,0.6118410680808472,2.9618974803075395,0.26332153161452976
Iceland,60,1960,2019,0.3751533627510071,14.0,63.0,14.0,0.04,65.0,-0.04,4.412785304789369,0.7477861570518766,3.2697987768068257,0.25869445825319337,4.5290954725616634,0.6481855197128559,3.405759429996212,0.1957647059794576,4.67305526494978,0.6481166731964861,3.403591289479734,0.19678834850894233
Ireland,60,1960,2019,0.48513084650039673,14.0,63.0,16.0,-0.04,65.0,-0.04,5.207235798954058,0.6889160742189947,3.269097014973292,0.31194796326174246,5.568535751441104,0.4943808621384125,3.7803648084059853,0.07990411171612788,5.536784184395297,0.48839406615782194,3.7782048157947363,0.08095524442373914
Israel,60,1960,2019,0.4247854948043823,14.0,71.0,14.0,-0.04,55.0,-0.04,2.227612310033412,1.1296548880425192,2.785526990122757,0.29740824942194033,2.715639642804217,1.1391043602852677,2.8232664627412385,0.2782412743252525,2.7027673352019486,1.0497074682288645,2.8209470010734043,0.27942671257034013
Italy,60,1960,2019,0.4433935880661011,15.0,55.0,16.0,-0.04,55.0,-0.04,2.7690463453130287,0.6273709790408046,2.1928936779199013,0.40095921720787364,2.2996755923642986,0.7281427214179664,2.2342783454670405,0.3781354616505579,2.2991087442224534,0.702867586595353,2.216338569501566,0.38808169098278533
Japan,60,1960,2019,0.40544819831848145,15.0,55.0,16.0,-0.04,55.0,-0.04,2.9517581793242043,0.5601822130985141,1.8287634912473312,0.744972642570957,3.6506087034932846,0.5132920306067297,2.0798514500644334,0.6701349379270776,3.627468907245461,0.5116837886975909,2.045646950061971,0.6808954107281628
Latvia,30,1990,2019,0.47641581296920776,14.0,55.0,14.0,-0.04,55.0,-0.04,11.956396465636466,0.5248001420493288,9.213514902137657,0.24910517555074319,14.32617685057122,0.4842828346556226,10.204895539911709,0.07881776763492332,14.367453228525157,0.4847031195263148,10.201262527070574,0.07947354527574924
Lithuania,30,1990,2019,0.48950713872909546,22.0,64.0,22.0,0.07999999999999999,69.0,0.12,8.993362991874493,0.4799721733030258,7.090062907987947,0.25839541708592284,11.630915076240184,0.4038600352110922,8.042746497134532,0.04570864785689144,11.521666230544493,0.40290055538586894,8.02831109428964,0.049131164694364404
Luxembourg,60,1960,2019,0.44890499114990234,24.0,55.0,22.0,0.07999999999999999,55.0,-0.04,3.180893822288813,0.9668081508389375,3.278571624368952,-0.05716117733709436,3.6357542263397344,0.9418500090146661,3.280558389258704,-0.05844281296077347,3.7503308205304258,0.9541536544020272,3.271336616409584,-0.052500531699944286
