country,iso3,rmse_g-0.04,logratio_g-0.04,rmse_g-0.02,logratio_g-0.02,rmse_g+0.00,logratio_g+0.00,rmse_g+0.02,logratio_g+0.02,rmse_g+0.04,logratio_g+0.04
Australia,AUS,0.21866596033503122,-14.186436166099801,0.07502137229241612,-14.1264361660998,0.07100429840533089,-14.0664361660998,0.21460432074734456,-14.006436166099801,0.35870380340167146,-13.9464361660998
Austria,AUT,0.28405997088956214,-13.597684367797388,0.14001255703455462,-13.537684367797388,0.01081504474931647,-13.459421447808477,0.14909867289317194,-13.417684367797387,0.2931618381100797,-13.357684367797388
Belgium,BEL,0.295494834450975,-13.48190463682751,0.1516427585511311,-13.42190463682751,0.01654857259052586,-13.336023052564517,0.13839141696135326,-13.30190463682751,0.28218879021385396,-13.24190463682751
Canada,CAN,0.22367482187719986,-13.719123151599733,0.07958002851049742,-13.659123151599733,0.06508099518036088,-13.599123151599734,0.20913653657264342,-13.539123151599734,0.3533279580298383,-13.479123151599733
Chile,CHL,0.20180601056105033,-12.501342368091729,0.06828610125529977,-12.45640224438592,0.1009966204916342,-12.38134236809173,0.2394527992670234,-12.32134236809173,0.3821975520629292,-12.261342368091729
China,CHN,0.08134446457846953,-12.630875763007435,0.21078074933795718,-12.619501605296467,0.3519092591356237,-12.559501605296466,0.49482494787479797,-12.499501605296468,0.6383285450402559,-12.439501605296467
Colombia,COL,0.2182122522687898,-12.482353039834512,0.08164821097275787,-12.422025972227628,0.08553521888605961,-12.362353039834511,0.22263449190258022,-12.302353039834513,0.3652614957801523,-12.242353039834512
Costa Rica,CRI,0.28005374724598275,-13.168288627498942,0.13627437403595735,-13.108288627498942,0.017643942055776,-13.043676022838959,0.1537917824971253,-12.98828862749894,0.2976449496228997,-12.928288627498942
Czech Republic,CZE,0.27201825530322565,-13.095031610117388,0.12981906601611196,-13.035031610117388,0.03622221120224734,-12.93789345451895,0.1654421568629498,-12.915031610117389,0.3082696318980342,-12.855031610117388
Denmark,DNK,0.2784785954784377,-13.922678795348677,0.13441936669948462,-13.862678795348677,0.01366763140188111,-13.783862228567171,0.15461255496364112,-13.742678795348677,0.2987026617836409,-13.682678795348677
Estonia,EST,0.22153734716724213,-13.217627269385648,0.09112112594850927,-13.069411240509277,0.09553702422803931,-13.015823526966235,0.22704974433496722,-13.032505008483353,0.36820625986911054,-12.977627269385648
Finland,FIN,0.234055831492397,-13.92085397470732,0.09099622799974924,-13.86085397470732,0.05812482055686209,-13.80085397470732,0.20019159827363528,-13.74085397470732,0.34405647396021743,-13.68085397470732
France,FRA,0.2638551929754875,-13.679689269862308,0.120637031533747,-13.619689269862308,0.03297004541120397,-13.5433054985316,0.1709407921227683,-13.499689269862309,0.3145703179397292,-13.439689269862308
Germany,DEU,0.25794498983545744,-13.737560986211554,0.11386660200215185,-13.677560986211553,0.03155294474084068,-13.615549901863837,0.17500163882695688,-13.557560986211552,0.31914817696866626,-13.497560986211553
Greece,GRC,0.24960384883559408,-12.533199004501201,0.10816791354012893,-12.4731990045012,0.05194722019230179,-12.383066603385785,0.18787423945764947,-12.353199004501201,0.3309002055270935,-12.2931990045012
Hungary,HUN,0.2560589697554684,-12.630891393340399,0.11391855860257637,-12.570891393340398,0.04459461846395237,-12.497174648666245,0.18055448484544054,-12.450891393340399,0.3237455235206494,-12.390891393340398
Iceland,ISL,0.2803411871256056,-14.607116616983058,0.1387160798743375,-14.54711661698306,0.0386409165576259,-14.411420478447129,0.15919827275797716,-14.40566905567971,0.30132218581749515,-14.367116616983058
Ireland,IRL,0.17739974435630862,-13.381301750574552,0.07263344924613042,-13.195982957656446,0.14380739411134885,-13.169336849617466,0.278721214213779,-13.205934407704351,0.4198695796369511,-13.14939378431674
Israel,ISR,0.228790264140133,-13.75468909645128,0.0860429641917615,-13.694689096451281,0.06373223994571367,-13.63468909645128,0.20571875249984198,-13.57468909645128,0.3495405725401337,-13.51468909645128
Italy,ITA,0.2822278353875615,-13.007052759703866,0.13826254429346246,-12.947052759703865,0.01343544719965889,-12.870292886960138,0.15114394241387247,-12.827052759703866,0.2951414430664746,-12.767052759703866
Japan,JPN,0.3184660423322262,-14.246422013049692,0.17433722736512117,-14.186422013049691,0.031085648971262227,-14.126422013049691,0.11462620249563878,-14.06642201304969,0.2586735684703364,-14.006422013049692
Republic of Korea,KOR,0.24693231829084464,-13.22067746233284,0.10406223673955968,-13.16067746233284,0.04777372095607653,-13.090818195480812,0.18797794475080837,-13.040677462332841,0.33164602667827486,-12.98067746233284
Latvia,LVA,0.2365181432676473,-12.898822094059433,0.10023898475914317,-12.798006409665962,0.07586089925852464,-12.708329465304505,0.20751360920932477,-12.718822094059433,0.34924049017524944,-12.658822094059433
Lithuania,LTU,0.22850051093440407,-13.034975780995028,0.09493036552505808,-12.925122882118872,0.08608754323453913,-12.843996708844386,0.21773919238758116,-12.854975780995028,0.35917912899141774,-12.794975780995028
Luxembourg,LUX,0.28837544130822174,-13.47831533800326,0.14452770439832746,-13.41831533800326,0.014701004305458197,-13.361482519887021,0.14540970296554429,-13.29831533800326,0.2892608578869019,-13.238315338003261
Mexico,MEX,0.2397024796634094,-12.779026971320455,0.09560892059513852,-12.719026971320456,0.049242792751303374,-12.659026971320456,0.1931544448842122,-12.599026971320455,0.33733133047362873,-12.539026971320455
Netherlands,NLD,0.2706796727868634,-13.67418600676067,0.12850954735709813,-13.614186006760672,0.03690423097490269,-13.511835968710672,0.1667607290874313,-13.494186006760671,0.30960678168879696,-13.43418600676067
New Zealand,NZL,0.20020391664498988,-14.406062066930119,0.05779569233910831,-14.344645306569857,0.09054874856076008,-14.28597534062694,0.23379009747823462,-14.226062066930119,0.3777784317451771,-14.166062066930118
Norway,NOR,0.20603038099679158,-14.102032046799277,0.06316371809023022,-14.037023560817541,0.084444020938614,-13.982032046799278,0.2277540999885183,-13.922032046799277,0.3717701809597955,-13.862032046799277
Poland,POL,0.1509152857242575,-12.359824880512418,0.01631213774526895,-12.295740235906624,0.13912853125943228,-12.239824880512417,0.28292651092287757,-12.179824880512417,0.427010623937601,-12.119824880512418
