country,iso3,mu_A,beta_D,mu_joint,beta_joint,rmse_trajectory_produced,slope_produced,rmse_trajectory_tang_only,log_scale_ratio,n_cwon_years,rnd_pct_gdp_mean,L_prod_joint,L_wealth_joint
Australia,AUS,2.245229564929588,0.16,2.3947368421052633,0.3,0.07100429840533089,0.7460816686692255,0.07150484157917776,-14.0664361660998,25,1.9485323076923076,0.00047059585435994035,0.0049792788879419875
Austria,AUT,0.0214970785657428,0.0,0.8315789473684212,0.039999999999999994,0.01081504474931647,0.9680360182958558,0.01081504474931647,-13.459421447808477,25,2.4824216666666667,0.0004975671676571225,6.648511890142867e-05
Belgium,BEL,0.1900519042478079,0.19,5.0,0.19999999999999996,0.01654857259052586,1.0392773007972587,0.016436212495194707,-13.336023052564517,25,2.127088333333333,0.00034375030814090535,0.00013929829846584494
Canada,CAN,0.1774746179826027,0.06,0.5710526315789475,0.06,0.06508099518036088,0.7615768658955991,0.06510399052203326,-13.599123151599734,25,1.8123975,0.00033346893899353973,0.0042180220026116
Chile,CHL,0.5861894182963105,0.0,5.0,0.02,0.1009966204916342,0.8129755098911785,0.1009966204916342,-12.38134236809173,25,0.359723076923077,0.0019905035610957495,0.00609160391788607
China,CHN,5.988502921434257,0.09,0.05,0.3,0.3519092591356237,0.6504024772360832,0.35256777491740876,-12.559501605296466,25,1.43812125,0.003230234600179577,0.10552258128922869
Colombia,COL,0.4021919621346195,0.02,0.8315789473684212,0.09999999999999999,0.08553521888605961,0.721458289632493,0.0855536597858603,-12.362353039834511,25,0.21851499999999996,0.00041981553674533706,0.007267630373998579
Costa Rica,CRI,0.0214970785657428,0.16,0.05,0.13999999999999999,0.017643942055776,0.9794799719323084,0.017671604722621234,-13.043676022838959,25,0.41644800000000004,0.001267496163459907,0.00030879937283983616
Czech Republic,CZE,5.989365582861284,0.0,0.8315789473684212,0.02,0.03622221120224734,0.7218936837387937,0.03622221120224734,-12.93789345451895,25,1.384415833333333,0.0011121544528047587,0.0005227807811690236
Denmark,DNK,0.5567846378855854,0.0,0.5710526315789475,0.02,0.01366763140188111,0.9196099038560436,0.01366763140188111,-13.783862228567171,25,2.604575833333333,0.00038897830457991554,0.00018484867002997008
Estonia,EST,5.989791931846012,0.0,0.05,0.02,0.09553702422803931,0.7060670287702151,0.09553702422803931,-13.015823526966235,25,1.2079127272727275,0.003711651205110525,0.003416838710206932
Finland,FIN,1.6675704573030463,0.0,0.05,0.02,0.05812482055686209,0.7013062834009607,0.05812482055686209,-13.80085397470732,25,3.1519208333333335,0.0006241166037703353,0.003190951711658966
France,FRA,0.0214970785657428,0.34,0.05,0.3,0.03297004541120397,0.8246491973822336,0.033021042481447,-13.5433054985316,25,2.16012625,0.00029066171353784724,0.0010909030533993848
Germany,DEU,0.0214970785657428,0.04,5.0,0.02,0.03155294474084068,0.6987732929103424,0.03169376173811043,-13.615549901863837,25,2.5896875000000006,0.00046028356460475056,0.0002914977066608871
Greece,GRC,0.0214970785657428,0.21,0.3105263157894737,0.25999999999999995,0.05194722019230179,0.61651291342514,0.05214116293356266,-12.383066603385785,25,0.7519085000000001,0.001643581132482085,0.002641557644072207
Hungary,HUN,0.0214970785657428,0.26,0.05,0.25999999999999995,0.04459461846395237,0.8027675198297273,0.04513991075316356,-12.497174648666245,25,1.0489625,0.0008464201737157975,0.002006989282269789
Iceland,ISL,0.5896563957282637,0.18,0.05,0.13999999999999999,0.0386409165576259,0.9043383663001295,0.03897218072009575,-14.411420478447129,25,2.3398790000000007,0.0013234033317339518,0.0009979423442495572
Ireland,IRL,5.988502921434257,0.0,0.05,0.02,0.14380739411134885,0.7251249530246295,0.14380739411134885,-13.169336849617466,25,1.2669133333333331,0.0011592362472901071,0.013723717303473276
Israel,ISR,0.0214970785657428,0.0,5.0,0.02,0.06373223994571367,0.8092783150261564,0.06373223994571367,-13.63468909645128,25,3.960485,0.0018298320179478778,0.002056059091110365
Italy,ITA,0.0214970785657428,0.32,0.05,0.3,0.01343544719965889,0.9285102295593032,0.013521621996962756,-12.870292886960138,25,1.1649866666666668,0.0005839008454972072,0.00017878738645318225
Japan,JPN,0.0214970785657428,0.01,0.05,0.02,0.031085648971262227,1.3140002992511806,0.031058558061090265,-14.126422013049691,25,3.0825724999999995,0.0005568597161551245,0.0009829760840798943
Republic of Korea,KOR,1.0163415387452626,0.0,4.478947368421053,0.02,0.04777372095607653,0.9006552021198312,0.04777372095607653,-13.090818195480812,25,2.9655416666666667,0.0008339040768950886,0.0001941262401983226
Latvia,LVA,5.988502921434257,0.0,0.05,0.02,0.07586089925852464,-0.005723454473141096,0.07586089925852464,-12.708329465304505,25,0.5345654166666666,0.00938028485199216,0.002009377926487503
Lithuania,LTU,5.988502921434257,0.0,0.05,0.02,0.08608754323453913,0.586796357613223,0.08608754323453913,-12.843996708844386,25,0.77614375,0.005461800193350902,0.002497982554640454
Luxembourg,LUX,3.3429224792330428,0.29,3.697368421052632,0.21999999999999995,0.014701004305458197,0.9969134612743454,0.01443325934884915,-13.361482519887021,25,1.4069677777777776,0.0009734905346688479,0.0002161707451238569
