country,iso3,mu_A,beta_D,mu_joint,beta_joint,rmse_trajectory_produced,slope_produced,rmse_trajectory_tang_only,log_scale_ratio,n_cwon_years,rnd_pct_gdp_mean,L_prod_joint,L_wealth_joint
Mexico,MEX,0.0214970785657428,0.01,4.218421052631579,0.15999999999999998,0.049242792751303374,0.8175782085809559,0.04925171068298353,-12.659026971320456,25,0.3597945833333333,0.0013215085571130763,0.0017143756259554927
Netherlands,NLD,0.0209323735913444,0.34,5.0,0.3,0.03690423097490269,0.8370279014170063,0.037108955144161966,-13.511835968710672,25,1.8711987499999996,0.00045684611065421936,0.000802121634887752
New Zealand,NZL,5.993298142059523,0.18,0.8315789473684212,0.27999999999999997,0.09054874856076008,0.6370531893103925,0.09085449130061805,-14.28597534062694,25,1.18496,0.001094711255272866,0.007482314314292891
Norway,NOR,0.4147964580251315,0.34,0.05,0.3,0.084444020938614,0.6484479888572299,0.08477385418680942,-13.982032046799278,25,1.7033676190476192,0.0002764453904060413,0.006863978879740079
Poland,POL,0.0214970785657428,0.0,0.05,0.02,0.13912853125943228,0.5976947334279368,0.13912853125943228,-12.239824880512417,25,0.7547004166666668,0.0016194708671918262,0.019373132924747162
Portugal,PRT,0.0214970785657428,0.09,0.05,0.09999999999999999,0.035687831457318235,1.0834354479275021,0.03546708653380572,-12.661101632002358,25,1.0619525,0.0011078804236280004,0.0012982750519880955
Slovakia,SVK,4.999687474872368,0.0,0.05,0.02,0.07905533395173205,0.6330915954521181,0.07905533395173205,-12.957583220024501,25,0.7000758333333333,0.0016421428882802643,0.0035607093316429458
Slovenia,SVN,0.6494950068232981,0.0,0.3105263157894737,0.02,0.06503996243456504,0.6516556782233903,0.06503996243456504,-12.677293189067708,25,1.7587233333333334,0.0009738997549804507,0.004160795777190074
Spain,ESP,0.0214970785657428,0.1,0.05,0.11999999999999998,0.04084501474628791,0.8768480583818993,0.040952222963040213,-12.75868057713108,25,1.11616125,0.0011939869482112857,0.0016702508784474256
Sweden,SWE,1.391517208749705,0.0,1.3526315789473686,0.02,0.0174365854431223,1.1221472751045132,0.0174365854431223,-14.007140677332194,25,3.3568534999999997,0.00026739880997419445,0.00030581676235794694
Switzerland,CHE,0.0214970785657428,0.0,0.05,0.09999999999999999,0.09154509615613081,0.3955986334386641,0.09154509615613081,-13.832502963424009,25,2.752295,0.0003719267628591763,0.008322938798146806
Turkey,TUR,0.0214970785657428,0.04,0.05,0.07999999999999999,0.20769242375855557,0.6376006806104535,0.20778100884541056,-11.318085411134057,25,0.7270949999999999,0.0030087425441946737,0.04330003580631904
United Kingdom,GBR,2.02979064983472,0.0,1.6131578947368423,0.02,0.011727992620082417,1.0345250404094326,0.011727992620082417,-13.342163693573207,25,1.8036216666666665,0.0002791043902566967,0.00013482875473118974
United States,USA,0.0214970785657428,0.0,3.697368421052632,0.02,0.032755246585084,0.8487173064080819,0.032755246585084,-13.93975978672451,25,2.6734708333333335,0.0001807518765551425,0.0007454530867939373
