Domain,Dataset,n,k (shape),k 95% CI,lambda (scale),lambda 95% CI,R-squared,KS statistic,Hazard pattern,Source
HIV/ART,Sub-Saharan Africa,256000,0.627,"(0.590, 0.666)",106.84,"(98.53, 116.91)",0.9989,0.0094,DFR (decreasing),IeDEA Africa (Brinkhof 2009; Fox & Rosen 2010)
HIV/ART,Asia-Pacific,48000,0.597,"(0.548, 0.647)",329.58,"(277.39, 414.06)",0.9990,0.0064,DFR (decreasing),IeDEA Asia-Pacific (Zhou 2012)
HIV/ART,Latin America,35000,0.582,"(0.542, 0.623)",215.12,"(189.20, 251.51)",0.9996,0.0043,DFR (decreasing),IeDEA CCASAnet (Wolff 2008)
HIV/ART,North America,82000,0.584,"(0.517, 0.649)",510.71,"(384.42, 736.50)",0.9985,0.0043,DFR (decreasing),NA-ACCORD (IeDEA NA)
HIV/ART,Europe,95000,0.594,"(0.521, 0.678)",683.22,"(473.91, 1078.81)",0.9985,0.0047,DFR (decreasing),COHERE (IeDEA Europe)
Antipsychotic,CATIE-Olanzapine,336,0.958,"(0.921, 1.009)",12.84,"(12.24, 13.26)",0.9991,0.0116,DFR (decreasing),CATIE Phase 1 (Lieberman 2005)
Antipsychotic,CATIE-Quetiapine,337,0.916,"(0.860, 0.985)",8.50,"(8.11, 8.89)",0.9972,0.0230,DFR (decreasing),CATIE Phase 1 (Lieberman 2005)
Antipsychotic,CATIE-Perphenazine,261,0.922,"(0.871, 0.993)",10.77,"(10.10, 11.27)",0.9968,0.0286,DFR (decreasing),CATIE Phase 1 (Lieberman 2005)
Antipsychotic,EUFEST-First-Episode,498,0.923,"(0.849, 1.054)",20.76,"(17.39, 22.68)",0.9962,0.0128,DFR (decreasing),EUFEST (Kahn 2008)
Antipsychotic,Finland-LAI,8719,0.737,"(0.692, 0.796)",66.66,"(61.56, 70.07)",0.9979,0.0167,DFR (decreasing),Finnish cohort LAI (Tiihonen 2017)
Antipsychotic,Finland-Oral,53531,0.683,"(0.602, 0.749)",30.91,"(28.99, 32.86)",0.9938,0.0339,DFR (decreasing),Finnish cohort Oral (Tiihonen 2017)
Substance Use,Opioid-Methadone,12500,0.576,"(0.522, 0.628)",23.98,"(21.70, 25.44)",0.9944,0.0284,DFR (decreasing),DATOS/SAMHSA methadone programs
Substance Use,Opioid-Buprenorphine,8200,0.619,"(0.558, 0.693)",11.16,"(9.82, 11.91)",0.9940,0.0262,DFR (decreasing),Multi-site buprenorphine trials (Weiss 2011)
Substance Use,Alcohol-Outpatient,15000,0.714,"(0.656, 0.769)",6.39,"(6.02, 6.64)",0.9979,0.0135,DFR (decreasing),Project MATCH / COMBINE (Anton 2006)
Substance Use,Cocaine-Outpatient,6800,0.681,"(0.613, 0.741)",4.77,"(4.52, 4.98)",0.9968,0.0167,DFR (decreasing),NIDA CTN cocaine trials
Substance Use,Cannabis-Outpatient,4500,0.733,"(0.666, 0.787)",7.02,"(6.58, 7.31)",0.9970,0.0156,DFR (decreasing),MTP/CTN cannabis trials (Budney 2006)
Substance Use,Residential-All,28000,0.511,"(0.461, 0.569)",5.27,"(4.58, 5.71)",0.9928,0.0341,DFR (decreasing),SAMHSA TEDS residential programs
Cardiac Rehab,Phase-I-Inpatient,3200,0.775,"(0.679, 0.875)",8.70,"(7.02, 10.40)",0.9971,0.0118,DFR (decreasing),Multi-centre Phase I (Midence 2020)
Cardiac Rehab,Phase-II-Outpatient,12500,0.613,"(0.503, 0.728)",11.03,"(8.99, 12.28)",0.9807,0.0392,DFR (decreasing),EUROASPIRE V / Turk-Adawi 2013 meta
Cardiac Rehab,Phase-III-Maintenance,5800,0.670,"(0.618, 0.728)",20.28,"(18.98, 21.63)",0.9961,0.0225,DFR (decreasing),Long-term maintenance cohorts (Doll 2015)
Cardiac Rehab,Post-MI,8500,0.664,"(0.582, 0.752)",12.38,"(10.59, 13.56)",0.9877,0.0319,DFR (decreasing),Post-MI rehabilitation (Kotseva 2019)
Cardiac Rehab,Post-CABG,4200,0.722,"(0.636, 0.823)",13.61,"(11.53, 14.99)",0.9905,0.0280,DFR (decreasing),Post-CABG rehabilitation (Turk-Adawi 2013)
Clinical Trial,Oncology-RCT,18500,0.742,"(0.702, 0.796)",39.92,"(36.97, 42.01)",0.9992,0.0129,DFR (decreasing),McChrystal 2025 oncology subset
Clinical Trial,Cardiovascular-RCT,24000,0.689,"(0.638, 0.758)",137.74,"(115.17, 161.21)",0.9997,0.0034,DFR (decreasing),McChrystal 2025 cardiovascular subset
Clinical Trial,Psychiatric-RCT,15200,0.733,"(0.656, 0.826)",12.66,"(10.88, 13.76)",0.9917,0.0240,DFR (decreasing),McChrystal 2025 psychiatric subset
Clinical Trial,Diabetes-RCT,12800,0.696,"(0.645, 0.793)",91.42,"(71.53, 105.43)",0.9983,0.0084,DFR (decreasing),McChrystal 2025 metabolic subset
Clinical Trial,Vaccine-RCT,28500,0.679,"(0.507, 0.939)",75.81,"(30.47, 225.42)",0.9957,0.0044,DFR (decreasing),COVID-19 vaccine phase III trials (Polack 2020; Baden 2021)
